Roll No,Name,Semester,Department
25BCS078,Utkarsh Krishnan,1,CSE
25BCS079,Varun Menon,1,CSE
25BCS080,Yuvraj Bose,1,CSE
25BCS081,Aarav Sharma,1,CSE
25BCS082,Aditya Patel,1,CSE
25BCS083,Akshay Yadav,1,CSE
25BCS084,Aman Khan,1,CSE
25BCS085,Aniket Agarwal,1,CSE
25BCS086,Arjun Bansal,1,CSE
25BCS087,Ayush Chopra,1,CSE
25BCS088,Dhruv Saxena,1,CSE
25BCS089,Gaurav Pandey,1,CSE
25BCS090,Harsh Menon,1,CSE
25BCS091,Ishaan Narayan,1,CSE
25BCS092,Karan Nair,1,CSE
25BCS093,Krishna Das,1,CSE
25BCS094,Manish Chatterjee,1,CSE
25BCS095,Nikhil Singh,1,CSE
25BCS096,Pranav Verma,1,CSE
25BCS097,Rahul Reddy,1,CSE
25BCS098,Rohan Malhotra,1,CSE
25BCS099,Sahil Jain,1,CSE
25BCS100,Siddharth Kapoor,1,CSE
25BDS001,Aarav Sharma,1,DSAI
25BDS002,Aditya Patel,1,DSAI
25BDS003,Akshay Yadav,1,DSAI
25BDS004,Aman Khan,1,DSAI
25BDS005,Aniket Agarwal,1,DSAI
25BDS006,Arjun Bansal,1,DSAI
25BDS007,Ayush Chopra,1,DSAI
25BDS008,Dhruv Saxena,1,DSAI
25BDS009,Gaurav Pandey,1,DSAI
25BDS010,Harsh Menon,1,DSAI
25BDS011,Ishaan Narayan,1,DSAI
25BDS012,Karan Nair,1,DSAI
25BDS013,Krishna Das,1,DSAI
25BDS014,Manish Chatterjee,1,DSAI
25BDS015,Nikhil Singh,1,DSAI
25BDS016,Pranav Verma,1,DSAI
25BDS017,Rahul Reddy,1,DSAI
25BDS018,Rohan Malhotra,1,DSAI
25BDS019,Sahil Jain,1,DSAI
25BDS020,Siddharth Kapoor,1,DSAI
25BDS021,Vikram Bhatia,1,DSAI
25BDS022,Yash Mishra,1,DSAI
25BDS023,Abhishek Nair,1,DSAI
25BDS024,Ankit Rao,1,DSAI
25BDS025,Deepak Pillai,1,DSAI
25BDS026,Gopal Kumar,1,DSAI
25BDS027,Himanshu Banerjee,1,DSAI
25BDS028,Jay Kumar,1,DSAI
25BDS029,Kunal Gupta,1,DSAI
25BDS030,Laksh Shah,1,DSAI
25BDS031,Mohit Joshi,1,DSAI
25BDS032,Neeraj Mehta,1,DSAI
25BDS033,Omkar Goyal,1,DSAI
25BDS034,Piyush Arora,1,DSAI
25BDS035,Ravi Tiwari,1,DSAI
25BDS036,Sagar Dubey,1,DSAI
25BDS037,Tarun Iyer,1,DSAI
25BDS038,Utkarsh Krishnan,1,DSAI
25BDS039,Varun Menon,1,DSAI
25BDS040,Yuvraj Bose,1,DSAI
25BDS041,Aarav Sharma,1,DSAI
25BDS042,Aditya Patel,1,DSAI
25BDS043,Akshay Yadav,1,DSAI
25BDS044,Aman Khan,1,DSAI
25BDS045,Aniket Agarwal,1,DSAI
25BDS046,Arjun Bansal,1,DSAI
25BDS047,Ayush Chopra,1,DSAI
25BDS048,Dhruv Saxena,1,DSAI
25BDS049,Gaurav Pandey,1,DSAI
25BDS050,Harsh Menon,1,DSAI
25BEC001,Aarav Sharma,1,ECE
25BEC002,Aditya Patel,1,ECE
25BEC003,Akshay Yadav,1,ECE
25BEC004,Aman Khan,1,ECE
25BEC005,Aniket Agarwal,1,ECE
25BEC006,Arjun Bansal,1,ECE
25BEC007,Ayush Chopra,1,ECE
25BEC008,Dhruv Saxena,1,ECE
25BEC009,Gaurav Pandey,1,ECE
25BEC010,Harsh Menon,1,ECE
25BEC011,Ishaan Narayan,1,ECE
25BEC012,Karan Nair,1,ECE
25BEC013,Krishna Das,1,ECE
25BEC014,Manish Chatterjee,1,ECE
25BEC015,Nikhil Singh,1,ECE
25BEC016,Pranav Verma,1,ECE
25BEC017,Rahul Reddy,1,ECE
25BEC018,Rohan Malhotra,1,ECE
25BEC019,Sahil Jain,1,ECE
25BEC020,Siddharth Kapoor,1,ECE
25BEC021,Vikram Bhatia,1,ECE
25BEC022,Yash Mishra,1,ECE
25BEC023,Abhishek Nair,1,ECE
25BEC024,Ankit Rao,1,ECE
25BEC025,Deepak Pillai,1,ECE
25BEC026,Gopal Kumar,1,ECE
25BEC027,Himanshu Banerjee,1,ECE
25BEC028,Jay Kumar,1,ECE
25BEC029,Kunal Gupta,1,ECE
25BEC030,Laksh Shah,1,ECE
25BEC031,Mohit Joshi,1,ECE
25BEC032,Neeraj Mehta,1,ECE
25BEC033,Omkar Goyal,1,ECE
25BEC034,Piyush Arora,1,ECE
25BEC035,Ravi Tiwari,1,ECE
25BEC036,Sagar Dubey,1,ECE
25BEC037,Tarun Iyer,1,ECE
25BEC038,Utkarsh Krishnan,1,ECE
25BEC039,Varun Menon,1,ECE
25BEC040,Yuvraj Bose,1,ECE
25BEC041,Aarav Sharma,1,ECE
25BEC042,Aditya Patel,1,ECE
25BEC043,Akshay Yadav,1,ECE
25BEC044,Aman Khan,1,ECE
25BEC045,Aniket Agarwal,1,ECE
25BEC046,Arjun Bansal,1,ECE
25BEC047,Ayush Chopra,1,ECE
25BEC048,Dhruv Saxena,1,ECE
25BEC049,Gaurav Pandey,1,ECE
25BEC050,Harsh Menon,1,ECE
24BCS001,Aarav Sharma,3,CSE
24BCS002,Aditya Patel,3,CSE
24BCS003,Akshay Yadav,3,CSE
24BCS004,Aman Khan,3,CSE
24BCS005,Aniket Agarwal,3,CSE
24BCS006,Arjun Bansal,3,CSE
24BCS007,Ayush Chopra,3,CSE
24BCS008,Dhruv Saxena,3,CSE
24BCS009,Gaurav Pandey,3,CSE
24BCS010,Harsh Menon,3,CSE
24BCS011,Ishaan Narayan,3,CSE
24BCS012,Karan Nair,3,CSE
24BCS013,Krishna Das,3,CSE
24BCS014,Manish Chatterjee,3,CSE
24BCS015,Nikhil Singh,3,CSE
24BCS016,Pranav Verma,3,CSE
24BCS017,Rahul Reddy,3,CSE
24BCS018,Rohan Malhotra,3,CSE
24BCS019,Sahil Jain,3,CSE
24BCS020,Siddharth Kapoor,3,CSE
24BCS021,Vikram Bhatia,3,CSE
24BCS022,Yash Mishra,3,CSE
24BCS023,Abhishek Nair,3,CSE
24BCS024,Ankit Rao,3,CSE
24BCS025,Deepak Pillai,3,CSE
24BCS026,Gopal Kumar,3,CSE
24BCS027,Himanshu Banerjee,3,CSE
24BCS028,Jay Kumar,3,CSE
24BCS029,Kunal Gupta,3,CSE
24BCS030,Laksh Shah,3,CSE
24BCS031,Mohit Joshi,3,CSE
24BCS032,Neeraj Mehta,3,CSE
24BCS033,Omkar Goyal,3,CSE
24BCS034,Piyush Arora,3,CSE
24BCS035,Ravi Tiwari,3,CSE
24BCS036,Sagar Dubey,3,CSE
24BCS037,Tarun Iyer,3,CSE
24BCS038,Utkarsh Krishnan,3,CSE
24BCS039,Varun Menon,3,CSE
24BCS040,Yuvraj Bose,3,CSE
24BCS041,Aarav Sharma,3,CSE
24BCS042,Aditya Patel,3,CSE
24BCS043,Akshay Yadav,3,CSE
24BCS044,Aman Khan,3,CSE
24BCS045,Aniket Agarwal,3,CSE
24BCS046,Arjun Bansal,3,CSE
24BCS047,Ayush Chopra,3,CSE
24BCS048,Dhruv Saxena,3,CSE
24BCS049,Gaurav Pandey,3,CSE
24BCS050,Harsh Menon,3,CSE
24BCS051,Ishaan Narayan,3,CSE
24BCS052,Karan Nair,3,CSE
24BCS053,Krishna Das,3,CSE
24BCS054,Manish Chatterjee,3,CSE
24BCS055,Nikhil Singh,3,CSE
24BCS056,Pranav Verma,3,CSE
24BCS057,Rahul Reddy,3,CSE
24BCS058,Rohan Malhotra,3,CSE
24BCS059,Sahil Jain,3,CSE
24BCS060,Siddharth Kapoor,3,CSE
24BCS061,Vikram Bhatia,3,CSE
24BCS062,Yash Mishra,3,CSE
24BCS063,Abhishek Nair,3,CSE
24BCS064,Ankit Rao,3,CSE
24BCS065,Deepak Pillai,3,CSE
24BCS066,Gopal Kumar,3,CSE
24BCS067,Himanshu Banerjee,3,CSE
24BCS068,Jay Kumar,3,CSE
24BCS069,Kunal Gupta,3,CSE
24BCS070,Laksh Shah,3,CSE
24BCS071,Mohit Joshi,3,CSE
24BCS072,Neeraj Mehta,3,CSE
24BCS073,Omkar Goyal,3,CSE
24BCS074,Piyush Arora,3,CSE
24BCS075,Ravi Tiwari,3,CSE
24BCS076,Sagar Dubey,3,CSE
24BCS077,Tarun Iyer,3,CSE
24BCS078,Utkarsh Krishnan,3,CSE
24BCS079,Varun Menon,3,CSE
24BCS080,Yuvraj Bose,3,CSE
24BCS081,Aarav Sharma,3,CSE
24BCS082,Aditya Patel,3,CSE
24BCS083,Akshay Yadav,3,CSE
24BCS084,Aman Khan,3,CSE
24BCS085,Aniket Agarwal,3,CSE
24BCS086,Arjun Bansal,3,CSE
24BCS087,Ayush Chopra,3,CSE
24BCS088,Dhruv Saxena,3,CSE
24BCS089,Gaurav Pandey,3,CSE
24BCS090,Harsh Menon,3,CSE
24BCS091,Ishaan Narayan,3,CSE
24BCS092,Karan Nair,3,CSE
24BCS093,Krishna Das,3,CSE
24BCS094,Manish Chatterjee,3,CSE
24BCS095,Nikhil Singh,3,CSE
24BCS096,Pranav Verma,3,CSE
24BCS097,Rahul Reddy,3,CSE
24BCS098,Rohan Malhotra,3,CSE
24BCS099,Sahil Jain,3,CSE
24BCS100,Siddharth Kapoor,3,CSE
24BDS001,Aarav Sharma,3,DSAI
24BDS002,Aditya Patel,3,DSAI
24BDS003,Akshay Yadav,3,DSAI
24BDS004,Aman Khan,3,DSAI
24BDS005,Aniket Agarwal,3,DSAI
24BDS006,Arjun Bansal,3,DSAI
24BDS007,Ayush Chopra,3,DSAI
24BDS008,Dhruv Saxena,3,DSAI
24BDS009,Gaurav Pandey,3,DSAI
24BDS010,Harsh Menon,3,DSAI
24BDS011,Ishaan Narayan,3,DSAI
24BDS012,Karan Nair,3,DSAI
24BDS013,Krishna Das,3,DSAI
24BDS014,Manish Chatterjee,3,DSAI
24BDS015,Nikhil Singh,3,DSAI
24BDS016,Pranav Verma,3,DSAI
24BDS017,Rahul Reddy,3,DSAI
24BDS018,Rohan Malhotra,3,DSAI
24BDS019,Sahil Jain,3,DSAI
24BDS020,Siddharth Kapoor,3,DSAI
24BDS021,Vikram Bhatia,3,DSAI
24BDS022,Yash Mishra,3,DSAI
24BDS023,Abhishek Nair,3,DSAI
24BDS024,Ankit Rao,3,DSAI
24BDS025,Deepak Pillai,3,DSAI
24BDS026,Gopal Kumar,3,DSAI
24BDS027,Himanshu Banerjee,3,DSAI
24BDS028,Jay Kumar,3,DSAI
24BDS029,Kunal Gupta,3,DSAI
24BDS030,Laksh Shah,3,DSAI
24BDS031,Mohit Joshi,3,DSAI
24BDS032,Neeraj Mehta,3,DSAI
24BDS033,Omkar Goyal,3,DSAI
24BDS034,Piyush Arora,3,DSAI
24BDS035,Ravi Tiwari,3,DSAI
24BDS036,Sagar Dubey,3,DSAI
24BDS037,Tarun Iyer,3,DSAI
24BDS038,Utkarsh Krishnan,3,DSAI
24BDS039,Varun Menon,3,DSAI
24BDS040,Yuvraj Bose,3,DSAI
24BDS041,Aarav Sharma,3,DSAI
24BDS042,Aditya Patel,3,DSAI
24BDS043,Akshay Yadav,3,DSAI
24BDS044,Aman Khan,3,DSAI
24BDS045,Aniket Agarwal,3,DSAI
24BDS046,Arjun Bansal,3,DSAI
24BDS047,Ayush Chopra,3,DSAI
24BDS048,Dhruv Saxena,3,DSAI
24BDS049,Gaurav Pandey,3,DSAI
24BDS050,Harsh Menon,3,DSAI
24BEC001,Aarav Sharma,3,ECE
24BEC002,Aditya Patel,3,ECE
24BEC003,Akshay Yadav,3,ECE
24BEC004,Aman Khan,3,ECE
24BEC005,Aniket Agarwal,3,ECE
24BEC006,Arjun Bansal,3,ECE
24BEC007,Ayush Chopra,3,ECE
24BEC008,Dhruv Saxena,3,ECE
24BEC009,Gaurav Pandey,3,ECE
24BEC010,Harsh Menon,3,ECE
24BEC011,Ishaan Narayan,3,ECE
24BEC012,Karan Nair,3,ECE
24BEC013,Krishna Das,3,ECE
24BEC014,Manish Chatterjee,3,ECE
24BEC015,Nikhil Singh,3,ECE
24BEC016,Pranav Verma,3,ECE
24BEC017,Rahul Reddy,3,ECE
24BEC018,Rohan Malhotra,3,ECE
24BEC019,Sahil Jain,3,ECE
24BEC020,Siddharth Kapoor,3,ECE
24BEC021,Vikram Bhatia,3,ECE
24BEC022,Yash Mishra,3,ECE
24BEC023,Abhishek Nair,3,ECE
24BEC024,Ankit Rao,3,ECE
24BEC025,Deepak Pillai,3,ECE
24BEC026,Gopal Kumar,3,ECE
24BEC027,Himanshu Banerjee,3,ECE
24BEC028,Jay Kumar,3,ECE
24BEC029,Kunal Gupta,3,ECE
24BEC030,Laksh Shah,3,ECE
24BEC031,Mohit Joshi,3,ECE
24BEC032,Neeraj Mehta,3,ECE
24BEC033,Omkar Goyal,3,ECE
24BEC034,Piyush Arora,3,ECE
24BEC035,Ravi Tiwari,3,ECE
24BEC036,Sagar Dubey,3,ECE
24BEC037,Tarun Iyer,3,ECE
24BEC038,Utkarsh Krishnan,3,ECE
24BEC039,Varun Menon,3,ECE
24BEC040,Yuvraj Bose,3,ECE
24BEC041,Aarav Sharma,3,ECE
24BEC042,Aditya Patel,3,ECE
24BEC043,Akshay Yadav,3,ECE
24BEC044,Aman Khan,3,ECE
24BEC045,Aniket Agarwal,3,ECE
24BEC046,Arjun Bansal,3,ECE
24BEC047,Ayush Chopra,3,ECE
24BEC048,Dhruv Saxena,3,ECE
24BEC049,Gaurav Pandey,3,ECE
24BEC050,Harsh Menon,3,ECE
23BCS001,Aarav Sharma,5,CSE
23BCS002,Aditya Patel,5,CSE
23BCS003,Akshay Yadav,5,CSE
23BCS004,Aman Khan,5,CSE
23BCS005,Aniket Agarwal,5,CSE
23BCS006,Arjun Bansal,5,CSE
23BCS007,Ayush Chopra,5,CSE
23BCS008,Dhruv Saxena,5,CSE
23BCS009,Gaurav Pandey,5,CSE
23BCS010,Harsh Menon,5,CSE
23BCS011,Ishaan Narayan,5,CSE
23BCS012,Karan Nair,5,CSE
23BCS013,Krishna Das,5,CSE
23BCS014,Manish Chatterjee,5,CSE
23BCS015,Nikhil Singh,5,CSE
23BCS016,Pranav Verma,5,CSE
23BCS017,Rahul Reddy,5,CSE
23BCS018,Rohan Malhotra,5,CSE
23BCS019,Sahil Jain,5,CSE
23BCS020,Siddharth Kapoor,5,CSE
23BCS021,Vikram Bhatia,5,CSE
23BCS022,Yash Mishra,5,CSE
23BCS023,Abhishek Nair,5,CSE
23BCS024,Ankit Rao,5,CSE
23BCS025,Deepak Pillai,5,CSE
23BCS026,Gopal Kumar,5,CSE
23BCS027,Himanshu Banerjee,5,CSE
23BCS028,Jay Kumar,5,CSE
23BCS029,Kunal Gupta,5,CSE
23BCS030,Laksh Shah,5,CSE
23BCS031,Mohit Joshi,5,CSE
23BCS032,Neeraj Mehta,5,CSE
23BCS033,Omkar Goyal,5,CSE
23BCS034,Piyush Arora,5,CSE
23BCS035,Ravi Tiwari,5,CSE
23BCS036,Sagar Dubey,5,CSE
23BCS037,Tarun Iyer,5,CSE
23BCS038,Utkarsh Krishnan,5,CSE
23BCS039,Varun Menon,5,CSE
23BCS040,Yuvraj Bose,5,CSE
23BCS041,Aarav Sharma,5,CSE
23BCS042,Aditya Patel,5,CSE
23BCS043,Akshay Yadav,5,CSE
23BCS044,Aman Khan,5,CSE
23BCS045,Aniket Agarwal,5,CSE
23BCS046,Arjun Bansal,5,CSE
23BCS047,Ayush Chopra,5,CSE
23BCS048,Dhruv Saxena,5,CSE
23BCS049,Gaurav Pandey,5,CSE
23BCS050,Harsh Menon,5,CSE
23BCS051,Ishaan Narayan,5,CSE
23BCS052,Karan Nair,5,CSE
23BCS053,Krishna Das,5,CSE
23BCS054,Manish Chatterjee,5,CSE
23BCS055,Nikhil Singh,5,CSE
23BCS056,Pranav Verma,5,CSE
23BCS057,Rahul Reddy,5,CSE
23BCS058,Rohan Malhotra,5,CSE
23BCS059,Sahil Jain,5,CSE
23BCS060,Siddharth Kapoor,5,CSE
23BCS061,Vikram Bhatia,5,CSE
23BCS062,Yash Mishra,5,CSE
23BCS063,Abhishek Nair,5,CSE
23BCS064,Ankit Rao,5,CSE
23BCS065,Deepak Pillai,5,CSE
23BCS066,Gopal Kumar,5,CSE
23BCS067,Himanshu Banerjee,5,CSE
23BCS068,Jay Kumar,5,CSE
23BCS069,Kunal Gupta,5,CSE
23BCS070,Laksh Shah,5,CSE
23BCS071,Mohit Joshi,5,CSE
23BCS072,Neeraj Mehta,5,CSE
23BCS073,Omkar Goyal,5,CSE
23BCS074,Piyush Arora,5,CSE
23BCS075,Ravi Tiwari,5,CSE
23BCS076,Sagar Dubey,5,CSE
23BCS077,Tarun Iyer,5,CSE
23BCS078,Utkarsh Krishnan,5,CSE
23BCS079,Varun Menon,5,CSE
23BCS080,Yuvraj Bose,5,CSE
23BCS081,Aarav Sharma,5,CSE
23BCS082,Aditya Patel,5,CSE
23BCS083,Akshay Yadav,5,CSE
23BCS084,Aman Khan,5,CSE
23BCS085,Aniket Agarwal,5,CSE
23BCS086,Arjun Bansal,5,CSE
23BCS087,Ayush Chopra,5,CSE
23BCS088,Dhruv Saxena,5,CSE
23BCS089,Gaurav Pandey,5,CSE
23BCS090,Harsh Menon,5,CSE
23BCS091,Ishaan Narayan,5,CSE
23BCS092,Karan Nair,5,CSE
23BCS093,Krishna Das,5,CSE
23BCS094,Manish Chatterjee,5,CSE
23BCS095,Nikhil Singh,5,CSE
23BCS096,Pranav Verma,5,CSE
23BCS097,Rahul Reddy,5,CSE
23BCS098,Rohan Malhotra,5,CSE
23BCS099,Sahil Jain,5,CSE
23BCS100,Siddharth Kapoor,5,CSE
23BDS001,Aarav Sharma,5,DSAI
23BDS002,Aditya Patel,5,DSAI
23BDS003,Akshay Yadav,5,DSAI
23BDS004,Aman Khan,5,DSAI
23BDS005,Aniket Agarwal,5,DSAI
23BDS006,Arjun Bansal,5,DSAI
23BDS007,Ayush Chopra,5,DSAI
23BDS008,Dhruv Saxena,5,DSAI
23BDS009,Gaurav Pandey,5,DSAI
23BDS010,Harsh Menon,5,DSAI
23BDS011,Ishaan Narayan,5,DSAI
23BDS012,Karan Nair,5,DSAI
23BDS013,Krishna Das,5,DSAI
23BDS014,Manish Chatterjee,5,DSAI
23BDS015,Nikhil Singh,5,DSAI
23BDS016,Pranav Verma,5,DSAI
23BDS017,Rahul Reddy,5,DSAI
23BDS018,Rohan Malhotra,5,DSAI
23BDS019,Sahil Jain,5,DSAI
23BDS020,Siddharth Kapoor,5,DSAI
23BDS021,Vikram Bhatia,5,DSAI
23BDS022,Yash Mishra,5,DSAI
23BDS023,Abhishek Nair,5,DSAI
23BDS024,Ankit Rao,5,DSAI
23BDS025,Deepak Pillai,5,DSAI
23BDS026,Gopal Kumar,5,DSAI
23BDS027,Himanshu Banerjee,5,DSAI
23BDS028,Jay Kumar,5,DSAI
23BDS029,Kunal Gupta,5,DSAI
23BDS030,Laksh Shah,5,DSAI
23BDS031,Mohit Joshi,5,DSAI
23BDS032,Neeraj Mehta,5,DSAI
23BDS033,Omkar Goyal,5,DSAI
23BDS034,Piyush Arora,5,DSAI
23BDS035,Ravi Tiwari,5,DSAI
23BDS036,Sagar Dubey,5,DSAI
23BDS037,Tarun Iyer,5,DSAI
23BDS038,Utkarsh Krishnan,5,DSAI
23BDS039,Varun Menon,5,DSAI
23BDS040,Yuvraj Bose,5,DSAI
23BDS041,Aarav Sharma,5,DSAI
23BDS042,Aditya Patel,5,DSAI
23BDS043,Akshay Yadav,5,DSAI
23BDS044,Aman Khan,5,DSAI
23BDS045,Aniket Agarwal,5,DSAI
23BDS046,Arjun Bansal,5,DSAI
23BDS047,Ayush Chopra,5,DSAI
23BDS048,Dhruv Saxena,5,DSAI
23BDS049,Gaurav Pandey,5,DSAI
23BDS050,Harsh Menon,5,DSAI
23BEC001,Aarav Sharma,5,ECE
23BEC002,Aditya Patel,5,ECE
23BEC003,Akshay Yadav,5,ECE
23BEC004,Aman Khan,5,ECE
23BEC005,Aniket Agarwal,5,ECE
23BEC006,Arjun Bansal,5,ECE
23BEC007,Ayush Chopra,5,ECE
23BEC008,Dhruv Saxena,5,ECE
23BEC009,Gaurav Pandey,5,ECE
23BEC010,Harsh Menon,5,ECE
23BEC011,Ishaan Narayan,5,ECE
23BEC012,Karan Nair,5,ECE
23BEC013,Krishna Das,5,ECE
23BEC014,Manish Chatterjee,5,ECE
23BEC015,Nikhil Singh,5,ECE
23BEC016,Pranav Verma,5,ECE
23BEC017,Rahul Reddy,5,ECE
23BEC018,Rohan Malhotra,5,ECE
23BEC019,Sahil Jain,5,ECE
23BEC020,Siddharth Kapoor,5,ECE
23BEC021,Vikram Bhatia,5,ECE
23BEC022,Yash Mishra,5,ECE
23BEC023,Abhishek Nair,5,ECE
23BEC024,Ankit Rao,5,ECE
23BEC025,Deepak Pillai,5,ECE
23BEC026,Gopal Kumar,5,ECE
23BEC027,Himanshu Banerjee,5,ECE
23BEC028,Jay Kumar,5,ECE
23BEC029,Kunal Gupta,5,ECE
23BEC030,Laksh Shah,5,ECE
23BEC031,Mohit Joshi,5,ECE
23BEC032,Neeraj Mehta,5,ECE
23BEC033,Omkar Goyal,5,ECE
23BEC034,Piyush Arora,5,ECE
23BEC035,Ravi Tiwari,5,ECE
23BEC036,Sagar Dubey,5,ECE
23BEC037,Tarun Iyer,5,ECE
23BEC038,Utkarsh Krishnan,5,ECE
23BEC039,Varun Menon,5,ECE
23BEC040,Yuvraj Bose,5,ECE
23BEC041,Aarav Sharma,5,ECE
23BEC042,Aditya Patel,5,ECE
23BEC043,Akshay Yadav,5,ECE
23BEC044,Aman Khan,5,ECE
23BEC045,Aniket Agarwal,5,ECE
23BEC046,Arjun Bansal,5,ECE
23BEC047,Ayush Chopra,5,ECE
23BEC048,Dhruv Saxena,5,ECE
23BEC049,Gaurav Pandey,5,ECE
23BEC050,Harsh Menon,5,ECE
22BCS001,Aarav Sharma,7,CSE
22BCS002,Aditya Patel,7,CSE
22BCS003,Akshay Yadav,7,CSE
22BCS004,Aman Khan,7,CSE
22BCS005,Aniket Agarwal,7,CSE
22BCS006,Arjun Bansal,7,CSE
22BCS007,Ayush Chopra,7,CSE
22BCS008,Dhruv Saxena,7,CSE
22BCS009,Gaurav Pandey,7,CSE
22BCS010,Harsh Menon,7,CSE
22BCS011,Ishaan Narayan,7,CSE
22BCS012,Karan Nair,7,CSE
22BCS013,Krishna Das,7,CSE
22BCS014,Manish Chatterjee,7,CSE
22BCS015,Nikhil Singh,7,CSE
22BCS016,Pranav Verma,7,CSE
22BCS017,Rahul Reddy,7,CSE
22BCS018,Rohan Malhotra,7,CSE
22BCS019,Sahil Jain,7,CSE
22BCS020,Siddharth Kapoor,7,CSE
22BCS021,Vikram Bhatia,7,CSE
22BCS022,Yash Mishra,7,CSE
22BCS023,Abhishek Nair,7,CSE
22BCS024,Ankit Rao,7,CSE
22BCS025,Deepak Pillai,7,CSE
22BCS026,Gopal Kumar,7,CSE
22BCS027,Himanshu Banerjee,7,CSE
22BCS028,Jay Kumar,7,CSE
22BCS029,Kunal Gupta,7,CSE
22BCS030,Laksh Shah,7,CSE
22BCS031,Mohit Joshi,7,CSE
22BCS032,Neeraj Mehta,7,CSE
22BCS033,Omkar Goyal,7,CSE
22BCS034,Piyush Arora,7,CSE
22BCS035,Ravi Tiwari,7,CSE
22BCS036,Sagar Dubey,7,CSE
22BCS037,Tarun Iyer,7,CSE
22BCS038,Utkarsh Krishnan,7,CSE
22BCS039,Varun Menon,7,CSE
22BCS040,Yuvraj Bose,7,CSE
22BCS041,Aarav Sharma,7,CSE
22BCS042,Aditya Patel,7,CSE
22BCS043,Akshay Yadav,7,CSE
22BCS044,Aman Khan,7,CSE
22BCS045,Aniket Agarwal,7,CSE
22BCS046,Arjun Bansal,7,CSE
22BCS047,Ayush Chopra,7,CSE
22BCS048,Dhruv Saxena,7,CSE
22BCS049,Gaurav Pandey,7,CSE
22BCS050,Harsh Menon,7,CSE
22BCS051,Ishaan Narayan,7,CSE
22BCS052,Karan Nair,7,CSE
22BCS053,Krishna Das,7,CSE
22BCS054,Manish Chatterjee,7,CSE
22BCS055,Nikhil Singh,7,CSE
22BCS056,Pranav Verma,7,CSE
22BCS057,Rahul Reddy,7,CSE
22BCS058,Rohan Malhotra,7,CSE
